ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ	DE
1985	SSTISAGEMA_J045040.52-685819.0	SSTM1SAGE1_J045040.47-685819.0	102460065	1000949101	1536621979	1529271410	1615438948	72.668846	-68.971949	99.999	99.999	21.105	0.115	18.668	0.076	14.641	0.056	13.15	0.02	11.7	0.01	10.51	0.01	9.365	0.034	8.942	0.032	8.573	0.022	8.136	0.02	7.641	0.024	7	7	           MSX LMC 1128	    CAGB	72.669	-68.9719	22400512	40159	      Kemper		21.105	18.668	14.641	OGLE-LMC-LPV-04314	20.981	16.287	1.282	440.8	2MASS J04504054-6858190	13.221	11.559	10.367	04504053-6858190	13.15	11.7	10.51	SSTISAGEMA J045040.52-685819.0	9.3637	8.9396	8.5729	8.1546	0.05048	0.04772	0.0428	0.0355	SSTM1SAGE1 J045040.47-685819.0	7.6152	0.0064															-4.69			0	7	MSX LMC 1128             	MC J045040.52-685819.0	45.1632.952  	437	445		LPV.-04314	441	C-AGB          	04 50 40.57	-68 58 18.76
2886	SSTISAGEMA_J045232.54-670259.2	SSTM1SAGE1_J045232.45-670259.5	102697256	1001231125	1536721241	1529277628	1614361164	73.135603	-67.049793	99.999	99.999	20.883	0.186	16.941	0.039	13.8	0.079	12.02	0.02	10.84	0.01	10.032	0.023	9.22	0.034	9.36	0.017	9.346	0.028	8.798	0.022	8.45	0.028	12	12	                KDM 764	    CAGB	73.1355	-67.0498	22401792	40159	      Kemper		20.883	16.941	13.8	OGLE-LMC-LPV-05238	17.24	13.967	0.417	444.6	2MASS J04523252-6702594	12.02	10.795	10.032	04523252-6702594	12.02	10.84		SSTISAGEMA J045232.54-670259.2	9.2202	9.3686	9.3467	8.8133	0.0576	0.03215	0.021	0.0194	SSTM1SAGE1 J045232.45-670259.5	8.4558	0.003															-5.05			0	12	KDM 764                  	MC J045232.54-670259.2	48.2024.11   	250	873		LPV.-05238	445	C-AGB          	04 52 32.49	-67 02 59.30
48773	SSTISAGEMA_J045328.70-660334.4	SSTM1SAGE1_J045328.74-660334.2	0	1001382817	1536775764	1529274814	0	73.369618	-66.059568	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.71	0.01	11.52	0.01	10.428	0.025	9.396	0.038	9.258	0.018	8.963	0.025	8.464	0.017	8.172	0.026	15	15		    CAGB	73.3697	-66.0596	22402304	40159	      Kemper										2MASS J04532871-6603343	12.536	11.3	10.428	04532871-6603344	12.71	11.52		SSTISAGEMA J045328.70-660334.4	9.3983	9.2567	8.9677	8.4715	0.04889	0.03563	0.0298	0.0265	SSTM1SAGE1 J045328.74-660334.2	8.1736	0.0039															-4.53			0	15		MC J045328.70-660334.4	54.2160.204  	2710					C-AGB          	04 53 28.71	-66 03 34.76
6305	SSTISAGEMA_J045855.02-691118.7	SSTM1SAGE1_J045854.94-691118.6	121673676	1002374633	1537156292	1529304762	1613048447	74.729259	-69.188538	21.348	0.424	19.337	0.051	16.744	0.04	14.043	0.039	12.06	0.01	11.11	0.01	10.64	0.02	10.015	0.027	10.073	0.02	9.972	0.024	9.556	0.028	9.512	0.06	23	23	               KDM 1238	    CAGB	74.7294	-69.1884	22404864	40159	      Kemper	21.348	19.337	16.744	14.043	OGLE-LMC-LPV-09687	16.576	13.961	0.109	133.21	2MASS J04585502-6911186	12.397	11.228	10.685	04585502-6911187	12.06	11.11	10.64	SSTISAGEMA J045855.02-691118.7	10.0191	10.0728	9.9716	9.569	0.0276	0.01681	0.0118	0.0097	SSTM1SAGE1 J045854.94-691118.6	9.5071	0.0011															-4.57			0	23	KDM 1238                 	MC J045855.02-691118.7	18.2960.23   	376	543		LPV.-09687	133	C-AGB          	04 58 55.03	-69 11 18.21
10018	SSTISAGEMA_J050316.60-654945.1	SSTM1SAGE1_J050316.60-654945.1	104437672	1003230532	1537542157	1529275438	0	75.81917	-65.829208	19.681	0.154	18.771	0.051	16.275	0.037	13.516	0.046	11.62	0.02	10.426	0.024	9.778	0.025	9.059	0.033	9.086	0.015	8.896	0.019	8.258	0.017	8.242	0.026	30	30	               KDM 1656	    CAGB	75.8193	-65.8291	22406912	40159	      Kemper	19.681	18.771	16.275	13.516						2MASS J05031662-6549450	11.593	10.426	9.778	05031661-6549451	11.62			SSTISAGEMA J050316.60-654945.1	9.0593	9.0836	8.9006	8.2773	0.06681	0.0418	0.0317	0.0317	SSTM1SAGE1 J050316.60-654945.1	8.2328	0.0037															-5.38			0	30	KDM 1656                 	MC J050316.60-654945.1	55.3736.12   	1035					C-AGB          	05 03 16.59	-65 49 44.79
9129	SSTISAGEMA_J050336.92-683338.5	SSTM1SAGE1_J050336.92-683338.7	104495672	1003302949	1537574815	1529272687	1608843925	75.90387	-68.560719	20.167	0.317	19.514	0.05	16.259	0.031	13.295	0.042	11.34	0.01	10.17	0.02	9.688	0.026	8.966	0.025	9.076	0.017	8.93	0.02	8.443	0.017	7.885	0.024	31	31	               KDM 1691	    CAGB	75.9038	-68.5607	22407168	40159	      Kemper	20.167	19.514	16.259	13.295	OGLE-LMC-LPV-14408	16.312	13.422	0.428	518.7	2MASS J05033694-6833385	11.486	10.308	9.688	05033694-6833385	11.34	10.17		SSTISAGEMA J050336.92-683338.5	8.9563	9.0705	8.9209	8.4526	0.07346	0.0423	0.0311	0.027	SSTM1SAGE1 J050336.92-683338.7	7.8497	0.0052															-5.5			0	31	KDM 1691                 	MC J050336.92-683338.5	19.3817.12   	503	512		LPV.-14408	519	C-AGB          	05 03 36.89	-68 33 38.71
9651	SSTISAGEMA_J050353.40-702747.6	SSTM1SAGE1_J050353.39-702747.7	123555176	1003360731	1537601771	1529275698	1610886434	75.972529	-70.463232	19.201	0.104	18.667	0.068	16.282	0.038	13.276	0.048	11.42	0.02	10.44	0.02	9.89	0.02	9.207	0.044	9.298	0.02	9.215	0.026	8.738	0.02	8.269	0.024	33	33	           LMC-BM 12-14	    CAGB	75.9726	-70.4632	22407680	40159	      Kemper	19.201	18.667	16.282	13.276	OGLE-LMC-LPV-14750	16.152	13.383	0.231	219.5	2MASS J05035340-7027475	11.675	10.555	9.953	05035339-7027476	11.42	10.44	9.89	SSTISAGEMA J050353.40-702747.6	9.2179	9.2996	9.213	8.7504	0.05773	0.03426	0.0237	0.0205	SSTM1SAGE1 J050353.39-702747.7	8.3322	0.0033															-5.3			0	33	LMC-BM 12-14             	MC J050353.40-702747.6	23.3788.9    	405	894		LPV.-14750	220	C-AGB          	05 03 53.50	-70 27 47.53
9838	SSTISAGEMA_J050407.72-662505.9	SSTM1SAGE1_J050407.74-662505.7	104585683	1003412254	1537625368	1529286755	0	76.032194	-66.418307	99.999	99.999	18.399	0.03	16.128	0.024	13.896	0.064	12.22	0.02	11.33	0.02	10.85	0.02	10.331	0.027	10.147	0.022	9.884	0.025	9.551	0.022	8.976	0.031	36	36	        NGC 1818 WBT 64	    CAGB	76.0323	-66.4182	22408192	40159	      Kemper		18.399	16.128	13.896						2MASS J05040773-6625058	12.406	11.345	10.85	05040774-6625058	12.22	11.33	10.85	SSTISAGEMA J050407.72-662505.9	10.3301	10.1484	9.877	9.5479	0.02073	0.01568	0.0129	0.0098	SSTM1SAGE1 J050407.74-662505.7	8.9697	0.0019															-4.48			0	36	NGC 1818 WBT 64          	MC J050407.72-662505.9	53.3849.19   	831	848				C-AGB          	05 04 07.73	-66 25 05.48
49865	SSTISAGEMA_J050555.66-672210.0	SSTM1SAGE1_J050555.61-672210.1	0	1003817878	1537808217	1529277679	1607779877	76.481918	-67.369465	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	14.57	0.01	12.92	0.01	11.79	0.01	10.18	0.022	9.831	0.018	9.427	0.02	9.014	0.021	8.454	0.028	43	43	            LMC-BM 13-2	    CAGB	76.482	-67.3692	22409472	40159	      Kemper					OGLE-LMC-LPV-17258	19.635	16.791	0.108	206	2MASS J05055567-6722099	14.128	12.581	11.714	05055567-6722100	14.57	12.92	11.79	SSTISAGEMA J050555.66-672210.0	10.1686	9.8218	9.4225	9.0227	0.02405	0.02118	0.0196	0.016	SSTM1SAGE1 J050555.61-672210.1	8.4884	0.0029															-3.6			0	43	LMC-BM 13-2              	MC J050555.66-672210.0	52.4197.4218 	2545			LPV.-17258	206	C-AGB          	05 05 55.74	-67 22 09.24
5724563	SSTISAGEMA_J050612.59-645537.5		0	0	1537837273	0	0	76.552461	-64.927107	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	12.96	0.03	11.97	0.025	11.591	0.024	10.933	0.023	10.915	0.022	10.745	0.024	10.612	0.027	99.999	99.999	46	46	               KDM 1961	    CAGB	76.5525	-64.927	22410240	40159	      Kemper										2MASS J05061259-6455376	12.96	11.97	11.591					SSTISAGEMA J050612.59-645537.5	10.9212	10.8972	10.7436	10.6123	0.01202	0.007865	0.0058	0.0037																		-3.53			0	46	KDM 1961                 	MC J050612.59-645537.5							C-AGB          	05 06 12.61	-64 55 37.23
