ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
44686	SSTISAGEMA_J043721.15-703444.7	SSTM1SAGE1_J043721.19-703444.7	115469415	0	1536203124	1529309681	1617764275	69.338158	-70.579099	99.999	99.999	18.307	0.05	16.468	0.023	13.943	0.139	12.408	0.023	11.488	0.021	11.191	0.021	10.905	0.023	10.805	0.022	10.688	0.027	10.491	0.029	9.616	0.057	1	1	    NGC 1651 SAGE IRS 1	    OAGB	69.3381	-70.579	22399232	40159	      Kemper		18.307	16.468	13.943	OGLE-LMC-LPV-00749	16.623	13.985	0.057	100.76	2MASS J04372116-7034447	12.408	11.488	11.191					SSTISAGEMA J043721.15-703444.7	10.9099	10.8052	10.6874	10.5041	0.01215	0.008559	0.0061	0.0041	SSTM1SAGE1 J043721.19-703444.7	9.6408	0.001															-4.25	-4.13	3156	0	1	NGC 1651 SAGE IRS 1      	MC J043721.15-703444.7					LPV.-00749	101	O-AGB          	04 37 21.15	-70 34 44.57
9760	SSTISAGEMA_J050428.91-674123.9	SSTM1SAGE1_J050428.87-674124.0	123536222	1003491274	1537660472	1529266599	1607816888	76.120493	-67.689985	18.8	0.074	18.412	0.034	16.597	0.031	12.442	0.063	11.16	0.02	10.35	0.02	9.392	0.025	9.209	0.032	8.984	0.032	8.725	0.021	7.988	0.019	5.678	0.012	38	38	             MSX LMC 61	    OAGB	76.1205	-67.6898	22408704	40159	      Kemper	18.8	18.412	16.597	12.442	OGLE-LMC-LPV-15419	19.652	14.477	3.115	577.2	2MASS J05042893-6741238	10.931	9.969	9.392	05042893-6741239	11.16	10.35		SSTISAGEMA J050428.91-674123.9	9.2089	8.9952	8.728	8.0013	0.05821	0.04534	0.0371	0.0409	SSTM1SAGE1 J050428.87-674124.0	5.6202	0.0405															-5.91	-5.67	2929	0	38	MSX LMC 61               	MC J050428.91-674123.9	25.3951.67   	576	1585		LPV.-15419	577	O-AGB          	05 04 28.91	-67 41 23.43
12215	SSTISAGEMA_J050759.35-683925.8	SSTM1SAGE1_J050759.38-683926.0	105261612	1004282859	1538026323	1529268788	1608591353	76.997327	-68.65718	99.999	99.999	19.756	0.205	16.687	0.064	14.524	0.076	13.35	0.01	12.45	0.01	12.07	0.01	11.181	0.034	10.563	0.026	9.909	0.026	8.954	0.023	6.864	0.023	54	54		    OAGB	76.9974	-68.6572	22412032	40159	      Kemper		19.756	16.687	14.524	OGLE-LMC-LPV-20082	17.123	14.761	0.1	150.34	2MASS J05075937-6839257	13.299	12.317	11.958	05075938-6839259	13.35	12.45	12.07	SSTISAGEMA J050759.35-683925.8	11.1804	10.5649	9.9182	8.967	0.009471	0.01068	0.0124	0.0168	SSTM1SAGE1 J050759.38-683926.0	6.8227	0.0134															-3.76	-3.64	2969	0	54		MC J050759.35-683925.8	19.4541.306  	359	362		LPV.-20082	150	O-AGB          	05 07 59.36	-68 39 25.71
13194	SSTISAGEMA_J050926.57-690656.3	SSTM1SAGE1_J050926.49-690656.5	105519882	1004638364	1538184829	1529329343	1605942759	77.360733	-69.115641	18.585	0.087	17.436	0.036	15.771	0.035	13.331	0.044	11.65	0.02	10.74	0.02	10.48	0.03	10.227	0.045	10.377	0.026	10.226	0.034	10.177	0.032	9.928	0.079	58	58	             BMB-BW 180	    OAGB	77.3608	-69.1157	22413056	40159	      Kemper	18.585	17.436	15.771	13.331	OGLE-LMC-LPV-22320	15.746	13.192	0.035	68.4	2MASS J05092659-6906563	11.609	10.707	10.385	05092659-6906562	11.65	10.74	10.48	SSTISAGEMA J050926.57-690656.3	10.2261	10.3688	10.2244	10.1905	0.02281	0.0128	0.0094	0.0054	SSTM1SAGE1 J050926.49-690656.5	9.9279	0.0008															-4.97	-4.9	3270	0	58	BMB-BW 180               	MC J050926.57-690656.3	79.4655.3986 	69	69		LPV.-22320	68	O-AGB          	05 09 26.44	-69 06 56.99
14299	SSTISAGEMA_J051059.07-685613.7	SSTM1SAGE1_J051058.98-685613.7	105793038	1005014138	1538356514	1529268790	0	77.74615	-68.937163	18.511	0.102	17.961	0.125	15.692	0.035	12.565	0.064	10.79	0.03	9.853	0.027	9.528	0.025	9.121	0.027	9.181	0.014	8.916	0.019	8.581	0.014	6.865	0.02	61	61		    OAGB	77.7461	-68.9372	22414336	40159	      Kemper	18.511	17.961	15.692	12.565	OGLE-LMC-LPV-24921	15.983	12.795	0.111	169.05	2MASS J05105908-6856137	10.813	9.853	9.528	05105909-6856137	10.79			SSTISAGEMA J051059.07-685613.7	9.1186	9.1855	8.9158	8.5947	0.06326	0.03805	0.0312	0.0237	SSTM1SAGE1 J051058.98-685613.7	6.8296	0.0133															-5.85	-5.73	3068	0	61		MC J051059.07-685613.7	79.5021.10   	175	280		LPV.-24921	169	O-AGB          	05 10 59.06	-68 56 13.82
15152	SSTISAGEMA_J051213.54-683922.8	SSTM1SAGE1_J051213.55-683922.5	106013466	1005321671	1538497092	1529273485	1605241063	78.056428	-68.65636	99.999	99.999	19.073	0.152	17.741	0.05	14.068	0.04	12.23	0.01	11.33	0.01	10.97	0.02	10.681	0.019	10.645	0.024	10.492	0.02	10.053	0.025	8.009	0.022	63	63		    OAGB	78.0563	-68.6563	22414848	40159	      Kemper		19.073	17.741	14.068	OGLE-LMC-LPV-27065	17.49	14.204	0.081	111.16	2MASS J05121357-6839228	12.276	11.334	10.965	05121355-6839229	12.23	11.33	10.97	SSTISAGEMA J051213.54-683922.8	10.6793	11.1222	10.492	10.0738	0.01503	0.006392	0.0073	0.0061	SSTM1SAGE1 J051213.55-683922.5	8.0266	0.0044															-4.37	-4.14	2800	0	63		MC J051213.54-683922.8	2.5146.30    	846	847		LPV.-27065	111	O-AGB          	05 12 13.57	-68 39 22.47
16371	SSTISAGEMA_J051339.94-663852.5	SSTM1SAGE1_J051340.00-663852.3	106264627	1005674747	1538662480	1529287878	1604216553	78.416428	-66.647921	20.504	0.258	18.98	0.06	17.12	0.038	14.006	0.051	12.25	0.01	11.38	0.01	11.04	0.01	10.764	0.019	10.747	0.017	10.591	0.02	10.344	0.019	9.02	0.037	67	67		    OAGB	78.4162	-66.648	22415616	40159	      Kemper	20.504	18.98	17.12	14.006	OGLE-LMC-LPV-29579	16.937	13.995	0.219	741.8	2MASS J05133993-6638526	12.259	11.316	10.99	05133995-6638526	12.25	11.38	11.04	SSTISAGEMA J051339.94-663852.5	10.7658	10.7506	10.5948	10.3588	0.01388	0.009001	0.0066	0.0047	SSTM1SAGE1 J051340.00-663852.3	9.034	0.0017															-4.35	-4.22	3057	0	67		MC J051339.94-663852.5	58.5418.23   	831	843		LPV.-29579	742	O-AGB          	05 13 39.87	-66 38 52.70
71516	SSTISAGEMA_J051341.40-652828.2	SSTM1SAGE1_J051341.43-652828.0	0	0	1538665254	1529319506	0	78.422529	-65.474515	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	11.412	0.021	10.496	0.024	10.229	0.019	9.996	0.025	10.175	0.023	9.991	0.029	9.93	0.029	9.785	0.068	68	68	     NGC 1866 Robb B136	    OAGB	78.4226	-65.4744	22416128	40159	      Kemper										2MASS J05134141-6528282	11.412	10.496	10.229					SSTISAGEMA J051341.40-652828.2	9.9931	10.1725	9.9906	9.9432	0.02827	0.01533	0.0116	0.0068	SSTM1SAGE1 J051341.43-652828.0	9.7848	0.0009															-5.31	-5	2673	0	68	NGC 1866 Robb B136       	MC J051341.40-652828.2	59.5436.11   	122	122				O-AGB          	05 13 41.42	-65 28 27.91
17054	SSTISAGEMA_J051412.33-685058.0	SSTM1SAGE1_J051412.38-685058.0	106360468	1005808093	1538725460	1529291687	1604962913	78.5514	-68.849455	20.186	0.202	19.109	0.051	17.52	0.038	14.16	0.054	12.42	0.03	11.42	0.02	11.18	0.02	10.87	0.024	10.873	0.029	10.687	0.03	10.51	0.028	9.155	0.039	72	72		    OAGB	78.5514	-68.8495	22416896	40159	      Kemper	20.186	19.109	17.52	14.16	OGLE-LMC-LPV-30640		14.055	0.357	794.9	2MASS J05141234-6850579	12.331	11.369	11.067	05141235-6850580	12.42	11.42	11.18	SSTISAGEMA J051412.33-685058.0	10.8709	10.8772	10.6816	10.5203	0.01259	0.008011	0.0061	0.004	SSTM1SAGE1 J051412.38-685058.0	9.181	0.0015															-4.24	-4.14	3073	0	72		MC J051412.33-685058.0	79.5506.20   	694			LPV.-30640	795	O-AGB          	05 14 12.32	-68 50 58.29
17533	SSTISAGEMA_J051612.42-704930.3	SSTM1SAGE1_J051612.53-704930.6	106709553	1006303520	1538961231	1529295364	1603725786	79.051769	-70.825085	20.383	0.171	19.114	0.037	17.247	0.029	13.896	0.029	12.21	0.02	11.39	0.01	11.03	0.02	10.78	0.024	10.83	0.024	10.68	0.034	10.47	0.025	9.272	0.049	77	77		    OAGB	79.0521	-70.8251	22417920	40159	      Kemper	20.383	19.114	17.247	13.896	OGLE-LMC-LPV-34633	17.246	14.003	0.226	767.7	2MASS J05161243-7049302	12.258	11.355	11.077	05161244-7049302	12.21	11.39	11.03	SSTISAGEMA J051612.42-704930.3	10.7752	10.8323	10.6794	10.4821	0.01376	0.008349	0.0062	0.0042	SSTM1SAGE1 J051612.53-704930.6	9.2766	0.0014															-4.36	-4.19	3055	0	77		MC J051612.42-704930.3	13.5840.19   	746	776		LPV.-34633	768	O-AGB          	05 16 12.52	-70 49 30.18
