ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
121534	SSTISAGEMA_J050713.90-674846.7	SSTM1SAGE1_J050713.92-674846.7	0	1004108980	1537945045	1529265045	1608089744	76.807939	-67.812983	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	16.51	0.02	15.42	0.02	14.56	0.03	12.225	0.033	11.32	0.025	9.683	0.026	7.565	0.021	3.276	0.006	52	52		   CPAGB	76.8082	-67.8129	24317184	40159	      Kemper										2MASS J05071392-6748467	16.623	15.382	14.496	05071392-6748467	16.51	15.42	14.56	SSTISAGEMA J050713.90-674846.7	12.2254	11.325	9.6865	7.5793	0.003617	0.005304	0.0154	0.0603	SSTM1SAGE1 J050713.92-674846.7	3.2571	0.357	SSTM2SAGECC J050713.76-674848.1	2.452	81.35												-4.67			0	52		MC J050713.90-674846.7							C-PAGB         	05 07 14.00	-67 48 46.46
15415	SSTISAGEMA_J051228.19-690755.8	SSTM1SAGE1_J051228.20-690755.9	106056182	1005384644	1538525271	1529265156	1605976095	78.117491	-69.132177	15.598	0.067	16.586	0.04	16.154	0.046	16.129	0.052	15.61	0.02	15.12	0.02	14.33	0.02	12.425	0.036	11.801	0.026	10.109	0.028	8.248	0.016	3.646	0.006	64	64		   CPAGB	78.1175	-69.1323	24316928	40159	      Kemper	15.598	16.586	16.154	16.129						2MASS J05122820-6907557	15.628	15.111	14.275	05122821-6907557	15.61	15.12	14.33	SSTISAGEMA J051228.19-690755.8	12.43	11.7978	10.1066	8.2635	0.002996	0.003431	0.0104	0.0321	SSTM1SAGE1 J051228.20-690755.9	3.6431	0.2502															-4.08			0	64		MC J051228.19-690755.8	79.5260.1862 			u			C-PAGB         	05 12 28.17	-69 07 56.15
19514	SSTISAGEMA_J051845.23-700534.5	SSTM1SAGE1_J051845.18-700534.5	107148084	1006937605	1539266876	1529265085	1602951427	79.688498	-70.092935	20.134	0.158	19.207	0.062	17.481	0.05	15.646	0.093	14.65	0.01	14.27	0.01	14	0.02	12.698	0.031	11.533	0.025	9.427	0.025	7.164	0.018	3.421	0.006	84	84	       IRAS F05192-7008	   CPAGB	79.6887	-70.093	24314624	40159	      Kemper	20.134	19.207	17.481	15.646	OGLE-LMC-LPV-39671	17.711	15.812	0.031	38.736	2MASS J05184526-7005345	14.656	14.219	13.989	05184525-7005346	14.65	14.27	14	SSTISAGEMA J051845.23-700534.5	12.7051	11.5372	9.4247	7.1818	0.002325	0.004362	0.0195	0.087	SSTM1SAGE1 J051845.18-700534.5	3.4125	0.3094															-4.68			0	84	IRAS F05192-7008         	MC J051845.23-700534.5	78.6214.72   			u	LPV.-39671	39	C-PAGB         	05 18 45.27	-70 05 34.70
41459	SSTISAGEMA_J055311.98-701522.5	SSTM1SAGE1_J055312.02-701522.4	114723676	1014657955	1542595350	1529264967	1633567352	88.299943	-70.256254	20.3	0.188	20.144	0.066	20.533	0.105	19.311	0.466	16.47	0.02	15.96	0.03	15.04	0.04	12.79	0.032	11.894	0.027	9.901	0.025	7.721	0.022	2.998	0.005	196	196	        IRAS 05537-7015	   CPAGB	88.3002	-70.2563	27084032	40159	      Kemper	20.3	20.144	20.533	19.311						2MASS J05531199-7015223	16.28	15.74	14.945	05531199-7015224	16.47	15.96	15.04	SSTISAGEMA J055311.98-701522.5	12.7913	11.8944	9.8995	7.7477	0.002148	0.003139	0.0126	0.0517	SSTM1SAGE1 J055312.02-701522.4	2.9959	0.4541	SSTM2SAGECC J055312.03-701520.9	2.253	97.71												-4.77			0	196	IRAS 05537-7015          	MC J055311.98-701522.5							C-PAGB         	05 53 12.04	-70 15 22.71
8186	SSTISAGEMA_J050224.17-660637.4	SSTM1SAGE1_J050224.16-660637.3	120283647	1003047558	1537459133	1529267542	0	75.600741	-66.110396	16.971	0.099	17.182	0.094	16.952	0.179	16.436	0.229	16.46	0.02	15.29	0.02	13.67	0.01	11.079	0.027	10.218	0.022	9.52	0.026	8.558	0.021	6.276	0.015	28	28	    NGC 1805 SAGE IRS 1	   OPAGB	75.6008	-66.1104	22406400	40159	      Kemper	16.971	17.182	16.952	16.436										05022419-6606374	16.46	15.29	13.67	SSTISAGEMA J050224.17-660637.4	11.0846	10.2188	9.523	8.57	0.01034	0.01469	0.0178	0.0242	SSTM1SAGE1 J050224.16-660637.3	6.2894	0.0219															-3.25			0	28		MC J050224.17-660637.4							O-PAGB         	05 02 24.21	-66 06 37.46
12722	SSTISAGEMA_J050830.51-692237.4	SSTM1SAGE1_J050830.53-692237.5	105352482	1004406063	1538082385	1529266254	1609185735	77.127166	-69.377057	14.6	0.032	14.456	0.029	14.282	0.083	13.58	0.048	12.42	0.02	11.57	0.02	11.09	0.02	10.489	0.026	10.248	0.021	9.884	0.028	8.396	0.02	5.38	0.012	56	56		   OPAGB	77.1276	-69.3771	22412544	40159	      Kemper	14.6	14.456	14.282	13.58	OGLE-LMC-LPV-20807	14.297	13.537	0.091	115.17	2MASS J05083053-6922372	12.46	11.542	11.09	05083054-6922373	12.42	11.57	11.09	SSTISAGEMA J050830.51-692237.4	10.4871	10.2492	9.8875	8.4081	0.01794	0.01429	0.0128	0.0281	SSTM1SAGE1 J050830.53-692237.5	5.3628	0.0513															-4.84			0	56		MC J050830.51-692237.4					LPV.-20807	115	O-PAGB         	05 08 30.62	-69 22 37.39
16983	SSTISAGEMA_J051453.10-691723.5	SSTM1SAGE1_J051453.09-691723.3	114121500	1005970258	1538804879	1529267294	1605605136	78.721271	-69.289874	19.519	0.147	17.749	0.04	16.026	0.041	14.594	0.044	13.48	0.02	12.76	0.01	12.54	0.02	12.147	0.039	11.773	0.031	10.942	0.027	9.507	0.029	6.135	0.014	75	75		   OPAGB	78.7214	-69.2899	22417408	40159	      Kemper	19.519	17.749	16.026	14.594						2MASS J05145312-6917234	13.48	12.711	12.514	05145314-6917233	13.48	12.76	12.54	SSTISAGEMA J051453.10-691723.5	12.1441	11.7737	10.9426	9.5214	0.003898	0.003508	0.0048	0.0101	SSTM1SAGE1 J051453.09-691723.3	6.1301	0.0253															-3.52			0	75		MC J051453.10-691723.5							O-PAGB         	05 14 53.12	-69 17 23.70
25192	SSTISAGEMA_J052627.23-664258.7	SSTM1SAGE1_J052627.23-664258.6	108584330	1008888939	1540182660	1529268022	0	81.613472	-66.716319	15.668	0.027	15.529	0.03	14.691	0.015	14.014	0.025	13.71	0.01	13.33	0.01	13.01	0.02	11.154	0.02	10.279	0.015	9.496	0.022	8.51	0.015	6.515	0.015	111	111	                HV 2522	   OPAGB	81.6134	-66.7163	27038208	40159	      Kemper	15.668	15.529	14.691	14.014						2MASS J05262725-6642586	13.585	13.144	12.742	05262723-6642588	13.71	13.33	13.01	SSTISAGEMA J052627.23-664258.7	11.1513	10.2875	9.4918	8.523	0.009728	0.01379	0.0184	0.0253	SSTM1SAGE1 J052627.23-664258.6	6.5213	0.0177															-4.05			0	111	HV 2522                  	MC J052627.23-664258.7	62.7474.1378 			u			O-PAGB         	05 26 27.19	-66 42 58.66
30246	SSTISAGEMA_J052707.10-702001.9	SSTM1SAGE1_J052707.04-702002.2	108708973	1009068030	1540261702	1529271180	1621042534	81.779603	-70.333885	14.981	0.048	15.793	0.051	15.73	0.042	15.768	0.044	15.5	0.02	14.87	0.02	13.67	0.02	11.442	0.031	10.672	0.026	10.167	0.022	9.475	0.02	7.589	0.024	113	113		   OPAGB	81.7794	-70.3339	22426624	40159	      Kemper	14.981	15.793	15.73	15.768										05270711-7020021	15.5	14.87	13.67	SSTISAGEMA J052707.10-702001.9	11.4401	10.6859	10.1728	9.4875	0.007456	0.009554	0.0098	0.0104	SSTM1SAGE1 J052707.04-702002.2	7.5634	0.0068															-3.17			0	113		MC J052707.10-702001.9	7.7541.31    			u			O-PAGB         	05 27 07.14	-70 20 02.12
26598	SSTISAGEMA_J052747.62-714852.8	SSTM1SAGE1_J052747.58-714853.0	108837175	1009244783	1540342397	1529267160	1622012681	81.948432	-71.814674	13.638	0.03	14.343	0.029	14.243	0.024	13.815	0.032	13.47	0.01	12.8	0.01	11.86	0.02	10.067	0.026	9.394	0.019	8.885	0.024	8.118	0.018	6.059	0.012	118	118		   OPAGB	81.9484	-71.8147	22427904	40159	      Kemper	13.638	14.343	14.243	13.815						2MASS J05274762-7148526	13.483	12.748	11.768	05274764-7148528	13.47	12.8	11.86	SSTISAGEMA J052747.62-714852.8	10.0598	9.3927	8.8841	8.1316	0.02658	0.03144	0.0321	0.0363	SSTM1SAGE1 J052747.58-714853.0	6.0442	0.0274															-4.69			0	118		MC J052747.62-714852.8							O-PAGB         	05 27 47.60	-71 48 52.75
