ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
1056	SSTISAGEMA_J044718.63-694220.6	SSTM1SAGE1_J044718.61-694220.6	115769476	1000507350	1536473716	1529271187	0	71.827654	-69.705738	17.793	0.2	15.644	0.01	13.716	0.01	11.3	0.195	10.1	0.03	9.272	0.021	9.005	0.021	8.868	0.036	9.045	0.016	8.869	0.022	8.749	0.017	7.59	0.023	4	4		     RSG	71.8277	-69.7057	22400256	40159	      Kemper	17.793	15.644	13.716	11.3						2MASS J04471864-6942205	10.1	9.272	9.005	04471866-6942206	10.1			SSTISAGEMA J044718.63-694220.6	8.866	9.0441	8.8655	8.7573	0.07982	0.04334	0.0327	0.0204	SSTM1SAGE1 J044718.61-694220.6	7.5515	0.0068															-6.56	-6.38	3270	0	4		MC J044718.63-694220.6							RSG            	04 47 18.63	-69 42 20.53
9025	SSTISAGEMA_J050221.46-660638.3	SSTM1SAGE1_J050221.47-660638.3	118931668	1003038159	1537454912	1529265796	0	75.589434	-66.11066	13.321	0.142	12.963	0.199	11.019	0.165	10.414	0.21	8.94	0.026	8.099	0.042	7.735	0.018	7.555	0.032	7.668	0.028	7.342	0.019	6.885	0.018	4.871	0.009	27	27	           MSX LMC 1271	     RSG	75.5896	-66.1105	22406144	40159	      Kemper	13.321	12.963	11.019	10.414						2MASS J05022146-6606382	8.94	8.099	7.735	05022143-6606380				SSTISAGEMA J050221.46-660638.3	7.5686	7.6644	7.3454	6.9027	0.2637	0.1544	0.1326	0.1125	SSTM1SAGE1 J050221.47-660638.3	4.8852	0.0797															-7.86	-7.95	3892	0	27	MSX LMC 1271             	MC J050221.46-660638.3							RSG            	05 02 21.52	-66 06 37.98
9897	SSTISAGEMA_J050407.42-662643.0	SSTM1SAGE1_J050407.39-662642.8	104583700	1003411079	1537624871	1529296680	0	76.03092	-66.44529	16.679	0.058	15.194	0.02	13.488	0.139	11.611	0.114	10.62	0.02	9.76	0.02	9.63	0.023	9.448	0.034	9.655	0.02	9.538	0.025	9.496	0.027	9.31	0.046	35	35	         NGC 1818 WBT 5	     RSG	76.0309	-66.4452	22407936	40159	      Kemper	16.679	15.194	13.488	11.611						2MASS J05040743-6626429	10.651	9.873	9.63	05040743-6626430	10.62	9.76		SSTISAGEMA J050407.42-662643.0	9.448	9.6529	9.5361	9.5075	0.04671	0.02474	0.0176	0.0102	SSTM1SAGE1 J050407.39-662642.8	9.3913	0.0013															-6.09	-5.97	3514	0	35	NGC 1818 WBT 5           	MC J050407.42-662643.0	53.3848.14   	360	1707				RSG            	05 04 07.38	-66 26 42.71
9367	SSTISAGEMA_J050411.04-662616.8	SSTM1SAGE1_J050411.09-662616.7	117503081	1003424873	1537630853	1529276734	0	76.046017	-66.438004	16.241	0.113	14.874	0.027	13.122	0.163	11.136	0.138	10.28	0.03	9.37	0.03	9.257	0.025	9.074	0.035	9.249	0.015	9.106	0.024	8.987	0.026	8.372	0.028	37	37	         NGC 1818 WBT 3	     RSG	76.0461	-66.438	22408448	40159	      Kemper	16.241	14.874	13.122	11.136						2MASS J05041105-6626167	10.309	9.51	9.257	05041107-6626167	10.28	9.37		SSTISAGEMA J050411.04-662616.8	9.074	9.2511	9.1047	8.9925	0.06591	0.03582	0.0262	0.0164	SSTM1SAGE1 J050411.09-662616.7	8.4064	0.0031															-6.48	-6.35	3513	0	37	NGC 1818 WBT 3           	MC J050411.04-662616.8	53.3848.13   	360					RSG            	05 04 11.09	-66 26 16.70
26685	SSTISAGEMA_J052739.63-690901.4	SSTM1SAGE1_J052739.53-690901.3	115688137	1009209845	1540326627	1529270077	0	81.915135	-69.150391	13.123	0.01	13.334	0.01	12.186	0.01	99.999	99.999	9.056	0.021	8.253	0.063	7.97	0.027	7.698	0.026	7.912	0.028	7.701	0.021	7.591	0.02	7.309	0.02	117	117	              W61 11-16	     RSG	81.9151	-69.1504	22427648	40159	      Kemper	13.123	13.334	12.186							2MASS J05273964-6909012	9.056	8.253	7.97	05273966-6909014				SSTISAGEMA J052739.63-690901.4	7.699	7.9182	7.7001	7.6028	0.2339	0.1222	0.0956	0.059	SSTM1SAGE1 J052739.53-690901.3	7.3968	0.0079															-7.7	-7.87	3869	0	117	W61 11-16                	MC J052739.63-690901.4							RSG            	05 27 39.62	-69 09 01.57
27835	SSTISAGEMA_J052954.73-690415.7	SSTM1SAGE1_J052954.72-690415.6	109238403	1009809364	1540593415	1529268641	0	82.478074	-69.071038	15.893	0.04	14.404	0.01	12.546	0	99.999	99.999	9.42	0.026	8.688	0.036	8.406	0.019	8.248	0.028	8.384	0.028	8.15	0.02	7.902	0.018	6.802	0.018	122	122	                HV 5879	     RSG	82.4783	-69.0711	22428672	40159	      Kemper	15.893	14.404	12.546							2MASS J05295474-6904156	9.42	8.688	8.406	05295476-6904157				SSTISAGEMA J052954.73-690415.7	8.2399	8.3816	8.1507	7.9112	0.1421	0.07978	0.0632	0.0444	SSTM1SAGE1 J052954.72-690415.6	6.803	0.0136															-7.3	-7.26	3432	0	122	HV 5879                  	MC J052954.73-690415.7	82.8044.1115 	122	1566				RSG            	05 29 54.80	-69 04 15.73
30724	SSTISAGEMA_J053004.56-684728.8	SSTM1SAGE1_J053004.58-684728.7	121283435	1009854124	1540612405	1529270532	0	82.519014	-68.791352	17.093	0.09	14.894	0.01	12.976	0	99.999	99.999	9.804	0.024	9.032	0.023	8.769	0.024	8.579	0.035	8.797	0.028	8.578	0.022	8.396	0.019	7.433	0.02	123	123	             SP77 46-50	     RSG	82.5194	-68.7914	22428928	40159	      Kemper	17.093	14.894	12.976							2MASS J05300459-6847288	9.804	9.032	8.769	05300459-6847288				SSTISAGEMA J053004.56-684728.8	8.5798	8.7976	8.5809	8.4073	0.1039	0.05439	0.0425	0.0281	SSTM1SAGE1 J053004.58-684728.7	7.4203	0.0077															-6.91	-6.84	3360	0	123	SP77 46-50               	MC J053004.56-684728.8							RSG            	05 30 04.67	-68 47 29.08
28666	SSTISAGEMA_J053046.81-671657.2	SSTM1SAGE1_J053046.72-671657.2	113262499	1010044049	1540694751	1529297745	0	82.695053	-67.28256	16.591	0.162	15.095	0.097	13.423	0.059	9.51	0.115	10.75	0.02	10.01	0.02	9.771	0.025	9.647	0.045	9.815	0.025	9.69	0.031	9.686	0.032	9.339	0.053	127	127	      NGC 2004 Robb B45	     RSG	82.695	-67.2825	22429952	40159	      Kemper	16.591	15.095	13.423	9.51						2MASS J05304681-6716572	10.756	10.008	9.771	05304684-6716571	10.75	10.01		SSTISAGEMA J053046.81-671657.2	9.6402	9.8187	9.6875	9.7012	0.03912	0.02124	0.0153	0.0085	SSTM1SAGE1 J053046.72-671657.2	9.3061	0.0014															-7.05	-6.5	3430	0	127	NGC 2004 Robb B45        	MC J053046.81-671657.2	61.8192.23   	381					RSG            	05 30 46.74	-67 16 56.92
28652	SSTISAGEMA_J053048.42-671645.8	SSTM1SAGE1_J053048.40-671645.8	113806799	1010051226	1540697859	1529271876	0	82.701759	-67.279404	14.203	0.02	14.154	0.01	13.076	0.01	99.999	99.999	9.976	0.026	9.147	0.025	8.91	0.025	8.784	0.034	8.989	0.032	8.761	0.024	8.657	0.023	7.742	0.022	128	128	     NGC 2004 Wes 18-13	     RSG	82.7016	-67.2794	22430208	40159	      Kemper	14.203	14.154	13.076							2MASS J05304842-6716458	9.976	9.147	8.91	05304843-6716458				SSTISAGEMA J053048.42-671645.8	8.7841	8.9887	8.7619	8.6716	0.08608	0.04561	0.036	0.0221	SSTM1SAGE1 J053048.40-671645.8	7.7987	0.0054															-6.79	-6.91	3863	0	128	NGC 2004 Wes 18-13       	MC J053048.42-671645.8							RSG            	05 30 48.40	-67 16 45.88
29289	SSTISAGEMA_J053052.28-671734.4	SSTM1SAGE1_J053052.25-671734.2	109420995	1010068795	1540705283	1529268689	0	82.717841	-67.292901	14.843	0.03	14.284	0.01	12.856	0.01	99.999	99.999	9.75	0.03	9.04	0.022	8.827	0.021	8.628	0.024	8.774	0.031	8.596	0.021	8.419	0.021	6.819	0.021	129	129	      NGC 2004 Wes 6-14	     RSG	82.7178	-67.2929	22430464	40159	      Kemper	14.843	14.284	12.856							2MASS J05305228-6717344	9.865	9.04	8.827	05305230-6717344	9.75			SSTISAGEMA J053052.28-671734.4	8.6293	8.7696	8.5971	8.4347	0.09927	0.05581	0.0419	0.0274	SSTM1SAGE1 J053052.25-671734.2	6.8102	0.0135															-6.89	-6.92	3650	0	129	NGC 2004 Wes 6-14        	MC J053052.28-671734.4							RSG            	05 30 52.25	-67 17 34.22
