ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
126788	SSTISAGEMA_J045228.68-685451.3	SSTM1SAGE1_J045228.67-685451.3	0	1001221133	1536717622	1529265236	1615236921	73.119507	-68.914263	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	18.33	0.11	16.48	0.08	14.93	0.06	12.355	0.059	11.182	0.03	10.068	0.029	8.613	0.024	3.896	0.007	11	11		    YSO1	73.1196	-68.9142	24315136	40159	      Kemper														04522870-6854514	18.33	16.48	14.93	SSTISAGEMA J045228.68-685451.3	12.3325	11.1816	10.0532	8.6298	0.003277	0.006052	0.011	0.0229	SSTM1SAGE1 J045228.67-685451.3	3.8444	0.2079	SSTM2SAGECC J045229.09-685451.3	-0.7644	1573				J73.118848-68.913986	73.1189	-68.914	1659	1442	774.1	470.5	160.3	-5.23			0	11		MC J045228.68-685451.3							YSO-1          	04 52 28.66	-68 54 51.09
121098	SSTISAGEMA_J050354.55-671848.7	SSTM1SAGE1_J050354.70-671847.5	0	1003364820	1537603646	1529265279	1611601432	75.977312	-67.313529	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	16.22	0.02	14.31	0.01	12.56	0.01	10.148	0.021	9.258	0.016	8.509	0.021	7.494	0.027	3.997	0.024	34	34		    YSO2	75.9774	-67.3133	24317696	40159	      Kemper										2MASS J05035455-6718486	16.153	14.126	12.351	05035457-6718487	16.22	14.31	12.56	SSTISAGEMA J050354.55-671848.7	10.144	9.2542	8.5083	7.5073	0.0246	0.03571	0.0454	0.0645	SSTM1SAGE1 J050354.70-671847.5	3.6708	0.2439	SSTM2SAGECC J050356.15-671846.8	-2.813	10380												-6.71			0	34		MC J050354.55-671848.7							YSO-1          	05 03 54.60	-67 18 47.69
16902	SSTISAGEMA_J051449.43-671221.4	SSTM1SAGE1_J051449.45-671221.7	106468680	1005954873	1538797755	1529265102	0	78.705968	-67.205971	21.299	0.477	21.145	0.117	20.652	0.261	18.771	0.059	17.03	0.04	14.97	0.02	12.92	0.03	10.413	0.033	9.298	0.021	8.379	0.02	7.385	0.019	3.465	0.006	74	74		    YSO1	78.7059	-67.2061	24316416	40159	      Kemper	21.299	21.145	20.652	18.771						2MASS J05144941-6712215	17.432	15.209	13.203	05144942-6712217	17.03	14.97	12.92	SSTISAGEMA J051449.43-671221.4	10.41	9.2986	8.3791	7.3996	0.01925	0.03429	0.0512	0.0712	SSTM1SAGE1 J051449.45-671221.7	3.4894	0.2883							J78.704555-67.205741	78.7046	-67.2057	1008	957.4	448.3	128.7		-5.04			0	74		MC J051449.43-671221.4							YSO-1          	05 14 49.41	-67 12 22.24
23207	SSTISAGEMA_J052351.13-680712.2	SSTM1SAGE1_J052351.14-680712.1	108105403	1008215189	1539871950	1529264809	1618356582	80.96308	-68.120063	99.999	99.999	19.426	0.165	16.657	0.151	99.999	99.999	13.55	0.13	13.09	0.07	11.79	0.06	10.241	0.033	9.327	0.017	8.588	0.022	7.632	0.015	1.879	0.007	101	101	        IRAS 05240-6809	    YSO1	80.9631	-68.1201	22424320	40159	      Kemper		19.426	16.657							2MASS J05235115-6807122	12.994	12.281	11.787	05235116-6807122	13.55	13.09	11.79	SSTISAGEMA J052351.13-680712.2	10.2414	9.3293	8.5896	7.6493	0.02249	0.03333	0.0422	0.0566	SSTM1SAGE1 J052351.14-680712.1	1.9026	1.243	SSTM2SAGECC J052351.40-680713.2	-1.847	4264				J80.963581-68.119993	80.9636	-68.12	3135	1880	697.8	361		-6.4			0	101	IRAS 05240-6809          	MC J052351.13-680712.2							YSO-1          	05 23 51.14	-68 07 12.37
54506	SSTISAGEMA_J052546.51-661411.5	SSTM1SAGE1_J052546.49-661411.7	0	1008706519	1540100547	1529264940	0	81.443814	-66.236546	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	17.81	0.07	15.92	0.04	13.35	0.02	9.929	0.024	8.754	0.03	7.897	0.019	6.866	0.018	2.895	0.007	108	108		    YSO1	81.4439	-66.2365	24319744	40159	      Kemper										2MASS J05254650-6614113		15.46	12.923	05254653-6614114	17.81	15.92	13.35	SSTISAGEMA J052546.51-661411.5	9.925	8.7547	7.8973	6.8831	0.0301	0.05658	0.0798	0.1146	SSTM1SAGE1 J052546.49-661411.7	2.888	0.5016							J81.443447-66.236306	81.4434	-66.2363	1765	1335	773.1	266.3	339.5	-6.59			0	108		MC J052546.51-661411.5							YSO-1          	05 25 46.52	-66 14 11.30
126784	SSTISAGEMA_J054125.09-711532.6	SSTM1SAGE1_J054124.88-711532.8	0	1012752246	1541776153	1529265065	1629036509	85.35457	-71.259068	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	16.441	0.067	16.47	0.22	14.288	0.049	12.201	0.08	11.626	0.033	10.457	0.045	9.208	0.077	3.346	0.008	168	168	        IRAS 05421-7116	    YSO1	85.3544	-71.2591	24315392	40159	      Kemper										2MASS J05412515-7115326	16.441	15.428	14.288	05412509-7115324		16.47		SSTISAGEMA J054125.09-711532.6	12.2964	11.6319	10.4577	9.2173	0.003389	0.003998	0.0075	0.0133	SSTM1SAGE1 J054124.88-711532.8	3.3419	0.3302	SSTM2SAGECC J054125.03-711533.3	-1.488	3062				J85.354477-71.259229	85.3545	-71.2592	2257	2156	1034	500.6	296.6	-5.13			0	168	IRAS 05421-7116          	MC J054125.09-711532.6							YSO-1          	05 41 25.08	-71 15 32.74
38209	SSTISAGEMA_J054450.23-692304.2	SSTM1SAGE1_J054450.19-692304.3	118178168	1013434544	1542067576	1529264893	0	86.209325	-69.384524	20.412	0.214	20.583	0.069	20.028	0.071	18.704	0.058	17.31	0.04	16.29	0.04	15.03	0.04	12.689	0.037	11.74	0.034	10.318	0.022	8.798	0.023	2.566	0.005	183	183	        IRAS 05452-6924	    YSO1	86.2093	-69.3847	22445056	40159	      Kemper	20.412	20.583	20.028	18.704						2MASS J05445024-6923044	17.079	16.177	14.553	05445024-6923045	17.31	16.29	15.03	SSTISAGEMA J054450.23-692304.2	12.6838	11.7465	10.3101	8.8131	0.002372	0.003597	0.0086	0.0194	SSTM1SAGE1 J054450.19-692304.3	2.5783	0.6671	SSTM2SAGECC J054450.40-692305.7	-1.738	3855				J86.210096-69.384209	86.2101	-69.3842	2436	2249	590.7	415.4	407.7	-5.72			0	183	IRAS 05452-6924          	MC J054450.23-692304.2							YSO-1          	05 44 50.23	-69 23 04.72
1129	SSTISAGEMA_J044837.77-692337.0	SSTM1SAGE1_J044837.71-692336.9	102229713	1000664382	1536527104	1529265828	1616669330	72.157378	-69.393638	99.999	99.999	21.97	0.18	20.987	0.153	19.656	0.146	17.2	0.04	15.15	0.02	13.21	0.01	10.363	0.032	9.48	0.021	8.677	0.022	7.854	0.02	4.924	0.01	5	5		    YSO2	72.1573	-69.3936	24319488	40159	      Kemper		21.97	20.987	19.656						2MASS J04483784-6923371			12.92	04483777-6923370	17.2	15.15	13.21	SSTISAGEMA J044837.77-692337.0	10.3666	9.4821	8.6769	7.8657	0.02004	0.02895	0.0389	0.0463	SSTM1SAGE1 J044837.71-692336.9	4.8646	0.0812							J72.157229-69.393688	72.1572	-69.3937	270	211.9	207.1			-4.19			0	5		MC J044837.77-692337.0							YSO-2          	04 48 37.75	-69 23 36.85
126909	SSTISAGEMA_J045200.36-691805.6	SSTM1SAGE1_J045200.36-691805.6	0	1001148239	1536691462	1529264999	0	73.001521	-69.30156	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	18.35	0.09	17.48	0.1	16.19	0.15	13.65	0.045	12.346	0.03	11.112	0.025	9.698	0.031	3.114	0.006	10	10		    YSO2	73.0016	-69.3016	22401280	40159	      Kemper										2MASS J04520040-6918049		16.888	15.829	04520039-6918057	18.35	17.48	16.19	SSTISAGEMA J045200.36-691805.6	13.636	12.341	11.1028	9.7025	0.0009866	0.00208	0.0042	0.0085	SSTM1SAGE1 J045200.36-691805.6	3.1218	0.4044	SSTM2SAGECC J045200.36-691807.4	-0.814	1646				J73.001184-69.301335	73.0012	-69.3013	2046	1791	906.6	657.3		-5.15			0	10		MC J045200.36-691805.6							YSO-2          	04 52 00.38	-69 18 05.53
125929	SSTISAGEMA_J052353.92-713443.9	SSTM1SAGE1_J052353.92-713443.8	0	1008227020	1539877468	1529265052	1622210156	80.974682	-71.578888	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	18.53	0.08	15.89	0.04	13.15	0.01	9.777	0.022	8.647	0.031	7.732	0.02	6.829	0.017	3.302	0.005	102	102	        IRAS 05246-7137	    YSO2	80.9747	-71.5789	22424576	40159	      Kemper										2MASS J05235393-7134438		15.59	12.977	05235392-7134439	18.53	15.89	13.15	SSTISAGEMA J052353.92-713443.9	9.7732	8.6468	7.7319	6.8363	0.03461	0.06249	0.0929	0.1196	SSTM1SAGE1 J052353.92-713443.8	3.293	0.3454	SSTM2SAGECC J052354.50-713442.2	-0.966	1894				J80.972886-71.578494	80.9729	-71.5785	805.8	860.1	763.2	434	317.8	-5.51			0	102	IRAS 05246-7137          	MC J052353.92-713443.9							YSO-2          	05 23 53.95	-71 34 43.97
10032	SSTISAGEMA_J050451.70-663807.5	SSTM1SAGE1_J050451.66-663807.6	104712087	1003578477	1537698951	1529265140	1607518231	76.215453	-66.635444	14.965	0.059	15.941	0.051	15.295	0.057	14.3	0.095	13.93	0.02	13.15	0.02	12.2	0.02	10.489	0.033	9.873	0.023	9.057	0.049	7.944	0.054	3.598	0.005	40	40	        IRAS 05047-6642	    YSO3	76.2154	-66.6354	24317440	40159	      Kemper	14.965	15.941	15.295	14.3						2MASS J05045169-6638074	13.984	13.173	12.223	05045172-6638075	13.93	13.15	12.2	SSTISAGEMA J050451.70-663807.5	10.4905	9.8725	9.0683	7.9623	0.01788	0.02021	0.0271	0.0424	SSTM1SAGE1 J050451.66-663807.6	3.5982	0.2608	SSTM2SAGECC J050451.73-663808.0	-1.177	2300	SSTM3SAGECC J050449.44-663802.6	-3.179	2991	J76.214675-66.635279	76.2147	-66.6353	968	1085	631.5	332.2	341	-5.62			0	40	IRAS 05047-6642          	MC J050451.70-663807.5	53.3966.918  	20					YSO-3          	05 04 51.71	-66 38 07.41
22008	SSTISAGEMA_J052222.95-684101.2	SSTM1SAGE1_J052222.78-684101.1	107811698	1007839551	1539698450	1529265837	1601486552	80.595653	-68.683669	18.141	0.087	19.48	0.132	18.679	0.141	18.227	0.141	15.77	0.03	14.96	0.03	13.81	0.03	11.903	0.046	11.278	0.032	9.963	0.062	8.419	0.051	4.933	0.009	97	97		    YSO3	80.5956	-68.6836	22422784	40159	      Kemper	18.141	19.48	18.679	18.227						2MASS J05222295-6841011	15.574	14.664	13.667	05222295-6841012	15.77	14.96	13.81	SSTISAGEMA J052222.95-684101.2	11.8746	11.2752	9.9601	8.4337	0.004997	0.005552	0.0119	0.0275	SSTM1SAGE1 J052222.78-684101.1	4.9201	0.0772	SSTM2SAGECC J052223.38-684100.4	0.3819	547.3				J80.595626-68.683509	80.5956	-68.6835	765.5	865.7	593.7	433	212.5	-4.57			0	97		MC J052222.95-684101.2							YSO-3          	05 22 22.98	-68 41 00.72
